,Unnamed: 0,positive_current,negative_current,total_current,acid_sqrt(J^2),acid_current,width,height,bond_start,bond_end,mapped_bond_start,mapped_bond_end,sid
0,0,8.189466,-20.447083,-12.257617,0.109164,3.076169,1.5,1.5,24,25,1,15,LODSEC
1,1,20.123364,-7.547442,12.575922,0.129483,3.64875,1.5,1.5,26,25,13,15,LODSEC
2,2,4.736562,-30.654893,-25.918331,0.186742,5.262285,1.5,1.5,26,87,13,12,LODSEC
3,3,9.531489,-22.563972,-13.032483,0.12651,3.564963,1.5,1.5,28,26,14,13,LODSEC
4,4,30.662158,-4.829093,25.833066,0.181436,5.112751,1.5,1.5,62,87,5,12,LODSEC
5,5,20.19672,-7.643961,12.552759,0.124384,3.505059,1.5,1.5,63,62,3,5,LODSEC
6,6,9.01215,-21.553454,-12.541304,0.126266,3.558103,1.5,1.5,62,94,5,16,LODSEC
7,7,20.726572,-7.220145,13.506427,0.108017,3.043851,1.5,1.5,64,63,4,3,LODSEC
8,8,7.605074,-20.795039,-13.189965,0.12521,3.528338,1.5,1.5,64,65,4,2,LODSEC
9,9,21.218145,-8.837183,12.380962,0.1194,3.364612,1.5,1.5,65,94,2,16,LODSEC
10,10,4.957522,-31.411497,-26.453975,0.175513,4.945858,1.5,1.5,65,66,2,6,LODSEC
11,11,30.373545,-5.096556,25.276989,0.168299,4.742557,1.5,1.5,80,66,7,6,LODSEC
12,12,21.598216,-8.975039,12.623178,0.121828,3.433048,1.5,1.5,95,80,9,7,LODSEC
13,13,7.51251,-20.486613,-12.974103,0.123426,3.478058,1.5,1.5,80,81,7,8,LODSEC
14,14,7.441798,-20.894544,-13.452746,0.110244,3.106622,1.5,1.5,81,82,8,10,LODSEC
15,15,9.739633,-21.880398,-12.140765,0.120465,3.394645,1.5,1.5,95,12,9,11,LODSEC
16,16,4.836999,-30.815468,-25.978469,0.165985,4.677357,1.5,1.5,12,13,11,21,LODSEC
17,17,20.400138,-7.58582,12.814318,0.125609,3.539601,1.5,1.5,12,82,11,10,LODSEC
18,18,30.159057,-4.926967,25.23209,0.165934,4.675928,1.5,1.5,14,13,18,21,LODSEC
19,19,24.789149,-10.773888,14.015261,0.13651,3.846771,1.5,1.5,27,14,17,18,LODSEC
20,20,19.143891,-7.689683,11.454207,0.125246,3.529372,1.5,1.5,30,14,19,18,LODSEC
21,21,24.570554,-10.475424,14.095129,0.134564,3.791943,1.5,1.5,32,27,23,17,LODSEC
22,22,21.008886,-7.298815,13.71007,0.109704,3.091397,1.5,1.5,31,30,20,19,LODSEC
23,23,19.529982,-7.628854,11.901127,0.126861,3.574857,1.5,1.5,32,31,23,20,LODSEC
24,24,7.620615,-19.80319,-12.182575,0.128712,3.62702,1.5,1.5,23,24,22,1,LODSEC
25,25,10.361697,-23.219794,-12.858097,0.127515,3.593311,1.5,1.5,23,28,22,14,LODSEC
26,26,5.042837,-30.17173,-25.128893,0.176355,4.969574,1.5,1.5,34,23,24,22,LODSEC
27,27,4.853441,-30.465438,-25.611997,0.172284,4.854868,1.5,1.5,32,34,23,24,LODSEC
28,28,2.427936,-1.528109,0.899827,0.033806,0.952625,1.5,1.5,1,28,-1,14,LODSEC
29,29,5.333145,-0.494674,4.838471,0.029119,0.820553,1.5,1.5,1,94,-1,16,LODSEC
30,30,5.470735,-0.767978,4.702757,0.035335,0.995714,1.5,1.5,27,1,17,-1,LODSEC
31,31,1.945527,-2.409828,-0.4643,0.014201,0.400175,1.5,1.5,95,1,9,-1,LODSEC
32,32,4.962901,-26.923789,-21.960888,0.113373,3.194779,2.0,1.5,24,25,1,15,LODSEC
33,33,17.34992,-8.34504,9.00488,0.123902,3.491472,2.0,1.5,26,25,13,15,LODSEC
34,34,2.639934,-40.043379,-37.403444,0.195999,5.523134,2.0,1.5,26,87,13,12,LODSEC
35,35,5.954623,-27.163888,-21.209265,0.126493,3.564487,2.0,1.5,28,26,14,13,LODSEC
36,36,30.243555,-6.024371,24.219185,0.181614,5.117768,2.0,1.5,62,87,5,12,LODSEC
37,37,17.413298,-8.44258,8.970718,0.120307,3.390188,2.0,1.5,63,62,3,5,LODSEC
38,38,5.620529,-25.843306,-20.222777,0.12702,3.579348,2.0,1.5,62,94,5,16,LODSEC
39,39,18.035181,-8.164024,9.871156,0.106745,3.008013,2.0,1.5,64,63,4,3,LODSEC
40,40,4.518838,-27.651408,-23.13257,0.129911,3.660814,2.0,1.5,64,65,4,2,LODSEC
41,41,18.524064,-10.573012,7.951052,0.116247,3.275763,2.0,1.5,65,94,2,16,LODSEC
42,42,2.727848,-40.028609,-37.300761,0.185693,5.232719,2.0,1.5,65,66,2,6,LODSEC
43,43,29.229129,-6.36122,22.86791,0.171186,4.823909,2.0,1.5,80,66,7,6,LODSEC
44,44,18.558288,-10.666334,7.891954,0.117769,3.318671,2.0,1.5,95,80,9,7,LODSEC
45,45,4.550104,-27.446447,-22.896343,0.129102,3.63803,2.0,1.5,80,81,7,8,LODSEC
46,46,4.524125,-27.677192,-23.153067,0.115479,3.254138,2.0,1.5,81,82,8,10,LODSEC
