,mol_path,group,msg
0,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ABASOO_0.xyz,metal,NO_METAL
1,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ABASOO_1.xyz,metal,NO_METAL
2,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ABASOO_2.xyz,metal,NO_METAL
3,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ABIPIK_0.xyz,topolocial,NOT_SATURATED
4,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ABOSOZ_0.xyz,charge,MOL_ODD_NUMBER_OF_ELECTRONS
5,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ABOSOZ_1.xyz,metal,NO_METAL
6,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ABOSOZ_2.xyz,metal,NO_METAL
7,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ABOSUF_0.xyz,charge,TOO_LARGE_COUNTER_MOL
8,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ABOSUF_1.xyz,metal,NO_METAL
9,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ABOSUF_2.xyz,metal,NO_METAL
10,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACANIF_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
11,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACANIF_1.xyz,metal,NO_METAL
12,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACEJUO_0.xyz,metal,NO_METAL
13,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACIXOA_0.xyz,topolocial,HAS_MORE_THAN_4_PYRROLES
14,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACIXOA_1.xyz,metal,NO_METAL
15,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACIXUG_0.xyz,topolocial,HAS_MORE_THAN_4_PYRROLES
16,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACIXUG_1.xyz,metal,NO_METAL
17,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACIYAN_0.xyz,topolocial,HAS_MORE_THAN_4_PYRROLES
18,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACIYAN_1.xyz,metal,NO_METAL
19,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACOSOC_0.xyz,metal,NO_METAL
20,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACOSUI_0.xyz,metal,NO_METAL
21,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACOTIV01_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
22,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACOTIV01_1.xyz,metal,NO_METAL
23,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACOTIV_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
24,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACOTIV_1.xyz,metal,NO_METAL
25,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACUPOG_0.xyz,metal,NO_METAL
26,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACUPOG_1.xyz,metal,NO_METAL
27,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACUPOG_2.xyz,metal,NO_METAL
28,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ACUPOG_3.xyz,metal,NO_METAL
29,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ADACIU_0.xyz,topolocial,NOT_SATURATED
30,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ADACIU_1.xyz,metal,NO_METAL
31,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ADICID_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
32,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ADICID_1.xyz,metal,NO_METAL
33,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ADICID_2.xyz,metal,NO_METAL
34,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ADIQAI_0.xyz,valid,VALID
35,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ADIWIV_0.xyz,topolocial,NOT_A_MONOMER
36,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ADIWOB_0.xyz,topolocial,NOT_A_MONOMER
37,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/ADIWUH_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
