,id,type,xyz,cif,smiles,structure_metadata,doi,orca_out,orca_xyz,singlet_energy,triplet_energy,quintet_energy,journal
0,ADIQAI,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/ADIQAI_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/ADIQAI.cif,c1ccccc1C1=c2ccc3=C(c4ccccc4)C4=[N]5[Mn]6([N]7=C1C=CC7=C(c1ccc(C(=C5C=C4)c4ccccc4)n61)c1ccccc1)(n23)O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,"{""audit_creation_date"": ""2017-10-03"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""ADIQAI"", ""database_code_depnum_ccdc_archive"": ""CCDC 1445098"", ""chemical_formula_sum"": ""C62 H43 Mn1 N4 O1 Si1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""69"", ""journal_year"": ""2016"", ""journal_page_first"": ""1970"", ""journal_name_full"": ""J.Coord.Chem. "", ""publ_author_name"": [""D.J.Meininger"", ""Z.Kasrawi"", ""H.D.Arman"", ""Z.J.Tonzetich""]}",10.1080/00958972.2016.1187727,,,-4118.599835567632,-4118.614815270324,-4118.634847077516,J.Coord.Chem. 
1,AKOTUQ,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/AKOTUQ_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/AKOTUQ.cif,[Ni@]123[N]4=C5C(=c6n1c(=C(c1cc(cc(c1)C(C)(C)C)C(C)(C)C)C1=[N]2C(=C(c2cc(cc(c2)C(C)(C)C)C(C)(C)C)c2ccc(C(=C4C=C5c4ncccc4)c4cc(C(C)(C)C)cc(C(C)(C)C)c4)n32)C=C1)cc6c1ncccc1)c1ccccc1,"{""audit_creation_date"": ""2011-06-07"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""AKOTUQ"", ""database_code_depnum_ccdc_archive"": ""CCDC 813442"", ""chemical_formula_sum"": ""C90 H92 Cl2 N6 Ni1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""29"", ""journal_year"": ""2010"", ""journal_page_first"": ""3997"", ""journal_name_full"": ""Organometallics "", ""publ_author_name"": [""K.Yoshida"", ""S.Yamaguchi"", ""A.Osuka"", ""H.Shinokubo""]}",10.1021/om100644n,,,-4852.775466459689,-4852.754859645742,-4852.693657224419,Organometallics 
2,ALITEU,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/ALITEU_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/ALITEU.cif,C[C][N][Ru]123([N]4=C5C(=c6ccc(=C(c7c8c(cc9c7[C@@H]7C[C@H]9CC7)[C@H]7C[C@@H]8CC7)C7=[N]2C(=C(c2c8c(cc9c2[C@@H]2C[C@H]9CC2)[C@@H]2CC[C@H]8C2)c2ccc(n32)C(=C4C=C5)c2c3c(cc4[C@@H]5CC[C@@H](C5)c24)[C@H]2C[C@@H]3CC2)C=C7)n16)c1c2[C@@H]3C[C@H](c2cc2c1[C@@H]1C[C@H]2CC1)CC3)[P](F)(F)F,"{""audit_creation_date"": ""2004-02-17"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""ALITEU"", ""database_code_depnum_ccdc_archive"": ""CCDC 210100"", ""chemical_formula_sum"": ""C92 H85 F3 N5 P1 Ru1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""9"", ""journal_year"": ""2003"", ""journal_page_first"": ""4746"", ""journal_name_full"": ""Chem.-Eur.J. "", ""publ_author_name"": [""A.Berkessel"", ""P.Kaiser"", ""J.Lex""]}",10.1002/chem.200305045,,,,,,Chem.-Eur.J. 
3,ANUYOY,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/ANUYOY_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/ANUYOY.cif,c1c2=C(C3=[N]4[Rh]56(C(=O)[C@H](C)CCCC(=O)C)n2c(=C(C2=[N]5C(=C(c5ccc(C(=C4C=C3)c3ccc(cc3)C)n65)c3ccc(cc3)C)C=C2)c2ccc(cc2)C)c1)c1ccc(cc1)C,"{""audit_creation_date"": ""2011-06-30"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""ANUYOY"", ""database_code_depnum_ccdc_archive"": ""CCDC 815670"", ""chemical_formula_sum"": ""C56 H49 N4 O2 Rh1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""29"", ""journal_year"": ""2010"", ""journal_page_first"": ""4421"", ""journal_name_full"": ""Organometallics "", ""publ_author_name"": [""Hong Sang Fung"", ""Bao Zhu Li"", ""Kin Shing Chan""]}",10.1021/om1007852,,,-2639.521717744736,,,Organometallics 
4,APANUC,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/APANUC_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/APANUC.cif,C(=O)(c1ccccc1)Oc1ccc(C2=c3ccc4=C(C5=[N]6[Zn]7(n34)([N]3=C2C=CC3=C(c2ccc(C(=C6C=C5)c3ccc(cc3)OC(=O)c3ccccc3)n72)c2ccc(cc2)OC(=O)c2ccccc2)[NH]2CCNCC2)c2ccc(cc2)OC(=O)c2ccccc2)cc1,"{""audit_creation_date"": ""2016-06-18"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""APANUC"", ""database_code_depnum_ccdc_archive"": ""CCDC 1483991"", ""chemical_formula_sum"": ""C76 H54 N6 O8 Zn1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""72"", ""journal_year"": ""2016"", ""journal_page_first"": ""937"", ""journal_name_full"": ""Acta Crystallogr.,Sect.E:Cryst.Commun. "", ""publ_author_name"": [""S.Nasri"", ""K.Ezzayani"", ""I.Turowska-Tyrk"", ""T.Roisnel"", ""H.Nasri""]}",10.1107/s2056989016009269,,,-5632.361713079863,-5632.303273445507,-5632.234835112139,"Acta Crystallogr.,Sect.E:Cryst.Commun. "
5,AQOYAI,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/AQOYAI_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/AQOYAI.cif,O([Zn]123[N]4=C5C=CC4=C(c4ccc(C(=C6C=CC(=[N]26)C(=c2ccc(=C5c5cc(cc(c5)OCCOCCOCCOC)OCCOCCOCCOC)n12)C#C[Si](C(C)C)(C(C)C)C(C)C)c1cc(OCCOCCOCCOC)cc(OCCOCCOCCOC)c1)n34)C#C[Si](C(C)C)(C(C)C)C(C)C)[S](C)C,"{""audit_creation_date"": ""2016-07-21"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""AQOYAI"", ""database_code_depnum_ccdc_archive"": ""CCDC 1451986"", ""chemical_formula_sum"": ""C84 H122 N4 O17 S1 Si2 Zn1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""18"", ""journal_year"": ""2016"", ""journal_page_first"": ""21954"", ""journal_name_full"": ""Phys.Chem.Chem.Phys.(PCCP) "", ""publ_author_name"": [""Md M.Alam"", ""F.Bolze"", ""C.Daniel"", ""L.Flamigni"", ""C.Gourlaouen"", ""V.Heitz"", ""S.Jenni"", ""J.Schmitt"", ""A.Sour"", ""B.Ventura""]}",10.1039/c6cp01844k,,,-7521.177195003429,,,Phys.Chem.Chem.Phys.(PCCP) 
6,ARODOC,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/ARODOC_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/ARODOC.cif,c1cc(C)ccc1C1=C2[N]3=C(C=C2)C(=c2n4c(=C(C5=[N]6C(=C(c7ccc1n7[Rh]346/C=C/c1ccccc1)c1ccc(cc1)C)C=C5)c1ccc(cc1)C)cc2)c1ccc(cc1)C,"{""audit_creation_date"": ""2016-07-26"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""ARODOC"", ""database_code_depnum_ccdc_archive"": ""CCDC 1496115"", ""chemical_formula_sum"": ""C56 H43 N4 Rh1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""35"", ""journal_year"": ""2016"", ""journal_page_first"": ""1847"", ""journal_name_full"": ""Organometallics "", ""publ_author_name"": [""Ka Lai Wong"", ""Chen Chen"", ""Kin Shing Chan""]}",10.1021/acs.organomet.6b00228,,,-2485.499487795977,-2485.428625956657,-2485.356489763904,Organometallics 
7,ASIPIB,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/ASIPIB_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/ASIPIB.cif,C1(=C(CC)C2=C(c3c(c(c4C(=C5C(=C(C6=[N]5[Ni]5(n7c(=C6N(=O)=O)c(c(CC)c7=C(N(=O)=O)C1=[N]25)CC)(n34)(N1[CH]NC=C1)N1[CH]NC=C1)CC)CC)N(=O)=O)CC)CC)N(=O)=O)CC,"{""audit_creation_date"": ""2004-06-10"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""ASIPIB"", ""database_code_depnum_ccdc_archive"": ""CCDC 232474"", ""chemical_formula_sum"": ""C46 H54 N14 Ni1 O8"", ""chemical_formula_moiety"": """", ""journal_volume"": ""108"", ""journal_year"": ""2004"", ""journal_page_first"": ""2173"", ""journal_name_full"": ""J.Phys.Chem.B "", ""publ_author_name"": [""K.M.Barkigia"", ""M.W.Renner"", ""M.O.Senge"", ""J.Fajer""]}",10.1021/jp036398d,,,-4392.260591312202,-4392.332325332237,-4392.271117206174,J.Phys.Chem.B 
8,ASIPOH,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/ASIPOH_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/ASIPOH.cif,[Ni]123([N]4=C5C(=C(C4=C(c4c(c(c(C(=C6C(=C(C(=[N]36)C(=c3c(c(c(=C5N(=O)=O)n13)CC)CC)N(=O)=O)CC)CC)N(=O)=O)n24)CC)CC)N(=O)=O)CC)CC)(N1[CH]N(C=C1)C)N1[CH]N(C=C1)C,"{""audit_creation_date"": ""2004-06-10"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""ASIPOH"", ""database_code_depnum_ccdc_archive"": ""CCDC 232475"", ""chemical_formula_sum"": ""C48 H58 N14 Ni1 O8"", ""chemical_formula_moiety"": """", ""journal_volume"": ""108"", ""journal_year"": ""2004"", ""journal_page_first"": ""2173"", ""journal_name_full"": ""J.Phys.Chem.B "", ""publ_author_name"": [""K.M.Barkigia"", ""M.W.Renner"", ""M.O.Senge"", ""J.Fajer""]}",10.1021/jp036398d,,,-4470.731901918421,-4470.803615052615,-4470.743505019713,J.Phys.Chem.B 
9,ASIPUN,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/ASIPUN_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/ASIPUN.cif,CCC1=C(CC)C2=C(N(=O)=O)c3c(c(c4C(=C5C(=C(C6=[N]5[Ni]5(n7c(=C6N(=O)=O)c(c(c7=C(C1=[N]25)N(=O)=O)CC)CC)(n34)(N1[CH]NC=C1)N1[CH]NC=C1)CC)CC)N(=O)=O)CC)CC,"{""audit_creation_date"": ""2004-06-10"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""ASIPUN"", ""database_code_depnum_ccdc_archive"": ""CCDC 232476"", ""chemical_formula_sum"": ""C43 H50 Cl2 N12 Ni1 O8"", ""chemical_formula_moiety"": """", ""journal_volume"": ""108"", ""journal_year"": ""2004"", ""journal_page_first"": ""2173"", ""journal_name_full"": ""J.Phys.Chem.B "", ""publ_author_name"": [""K.M.Barkigia"", ""M.W.Renner"", ""M.O.Senge"", ""J.Fajer""]}",10.1021/jp036398d,,,,-4392.334672088392,-4392.27568954781,J.Phys.Chem.B 
